Date and time	exCO2_uM	exO2_uM
09.02.2018 15:00	20.38780144	-8.690202485
09.02.2018 15:15	18.57096016	-8.440621783
09.02.2018 15:30	16.79951842	-9.065453971
09.02.2018 15:45	16.83456618	-9.023225687
09.02.2018 16:00	15.50506904	-8.387544008
09.02.2018 16:15	15.88418148	-8.668337098
09.02.2018 16:30	16.09374845	-9.293169286
09.02.2018 16:45	16.68116591	-9.521418374
09.02.2018 17:00	15.72649767	-8.313288203
09.02.2018 17:15	15.32013224	-8.42876229
09.02.2018 17:30	15.06159058	-9.056770745
09.02.2018 17:45	15.05655803	-10.01516307
09.02.2018 18:00	15.63440856	-10.36962087
09.02.2018 18:15	14.7163267	-9.930597854
09.02.2018 18:30	13.87467281	-9.386454246
09.02.2018 18:45	14.18821022	-9.523039925
09.02.2018 19:00	14.34101483	-9.993262933
09.02.2018 19:15	14.55989318	-10.47072677
09.02.2018 19:30	16.00917148	-11.84686873
09.02.2018 19:45	16.91717828	-12.66129298
09.02.2018 20:00	18.26938578	-14.26577713
09.02.2018 20:15	17.67247068	-13.37026911
09.02.2018 20:30	16.1062383	-11.30912558
09.02.2018 20:45	14.83351788	-9.964057965
09.02.2018 21:00	15.80840541	-11.94063791
09.02.2018 21:15	15.60296128	-11.96153682
09.02.2018 21:30	16.14033926	-11.78584827
09.02.2018 21:45	15.59659494	-11.73298659
09.02.2018 22:00	15.17688649	-11.58898026
09.02.2018 22:15	15.75489824	-11.83805015
09.02.2018 22:30	20.84227372	-16.78908682
09.02.2018 22:45	22.24750011	-17.04235287
09.02.2018 23:00	38.49886218	-25.47969756
09.02.2018 23:15	34.26591309	-23.84747029
09.02.2018 23:30	17.22325425	-12.00594729
09.02.2018 23:45	17.6320504	-12.57803617
10.02.2018 00:00	16.86087115	-12.58841577
10.02.2018 00:15	16.31986647	-12.4617064
10.02.2018 00:30	17.86932452	-13.64829293
10.02.2018 00:45	18.01587302	-14.45236398
10.02.2018 01:00	17.747694	-14.97574012
10.02.2018 01:15	16.9529172	-12.81974486
10.02.2018 01:30	21.41058828	-17.18401896
10.02.2018 01:45	17.7149426	-13.42329321
10.02.2018 02:00	17.86183055	-13.88347502
10.02.2018 02:15	21.32006347	-17.10340194
10.02.2018 02:30	18.01933476	-14.28016612
